Gene Set Name,Gene Set Description,Gene Symbol,Gene Description
,,ELF3,"Id: ENSG00000163435, Name: E74 like ETS transcription factor 3"
,,DEFB1,"Id: ENSG00000164825, Name: defensin beta 1"
,,PAPSS1,"Id: ENSG00000138801, Name: 3'-phosphoadenosine 5'-phosphosulfate synthase 1"
,,SCGB1D2,"Id: ENSG00000124935, Name: secretoglobin family 1D member 2"
,,MT1H,"Id: ENSG00000205358, Name: metallothionein 1H"
,,ASRGL1,"Id: ENSG00000162174, Name: asparaginase and isoaspartyl peptidase 1"
,,ANXA4,"Id: ENSG00000196975, Name: annexin A4"
,,CD24,"Id: ENSG00000272398, Name: CD24 molecule"
,,GNG11,"Id: ENSG00000127920, Name: G protein subunit gamma 11"
,,SLC26A2,"Id: ENSG00000155850, Name: solute carrier family 26 member 2"
ciliated cell - marker genes,CellGuide's computational marker genes for 'ciliated cell' in uterus tissue,CAPS,"Id: ENSG00000105519, Name: calcyphosine"
,,C20orf85,"Id: ENSG00000124237, Name: chromosome 20 open reading frame 85"
,,RSPH1,"Id: ENSG00000160188, Name: radial spoke head component 1"
,,TPPP3,"Id: ENSG00000159713, Name: tubulin polymerization promoting protein family member 3"
,,C1orf194,"Id: ENSG00000179902, Name: cilia and flagella associated protein 276"
,,HMGN3,"Id: ENSG00000118418, Name: high mobility group nucleosomal binding domain 3"
,,C9orf24,"Id: ENSG00000164972, Name: chromosome 9 open reading frame 24"
,,CRIP1,"Id: ENSG00000213145, Name: cysteine rich protein 1"
,,HOATZ,"Id: ENSG00000183644, Name: HOATZ cilia and flagella associated protein"
,,AGR3,"Id: ENSG00000173467, Name: anterior gradient 3, protein disulphide isomerase family member"
,,CLDN3,"Id: ENSG00000165215, Name: claudin 3"
,,WFDC2,"Id: ENSG00000101443, Name: WAP four-disulfide core domain 2"
,,MORN2,"Id: ENSG00000188010, Name: MORN repeat containing 2"
,,CETN2,"Id: ENSG00000147400, Name: centrin 2"
,,PIFO,"Id: ENSG00000173947, Name: ciliary microtubule associated protein 3"
,,CCDC146,"Id: ENSG00000135205, Name: coiled-coil domain containing 146"
,,SCGB1D2,"Id: ENSG00000124935, Name: secretoglobin family 1D member 2"
,,IK,"Id: ENSG00000113141, Name: IK cytokine"
,,SMIM22,"Id: ENSG00000267795, Name: small integral membrane protein 22"
,,ODF3B,"Id: ENSG00000177989, Name: ciliary microtubule associated protein 1B"
,,FAM183A,"Id: ENSG00000186973, Name: cilia and flagella associated protein 144"
,,LINC01480,"Id: ENSG00000270164, Name: long intergenic non-protein coding RNA 1480"
,,SCGB1D4,"Id: ENSG00000197745, Name: secretoglobin family 1D member 4"
,,OMG,"Id: ENSG00000126861, Name: uncharacterized LOC101927057"
,,AKAP9,"Id: ENSG00000127914, Name: A-kinase anchoring protein 9"
,,C9orf116,"Id: ENSG00000160345, Name: piercer of microtubule wall 1"
,,ASRGL1,"Id: ENSG00000162174, Name: asparaginase and isoaspartyl peptidase 1"
,,CFAP53,"Id: ENSG00000172361, Name: cilia and flagella associated protein 53"
